,IRIS,COM,ANNEE,P_POP,P_POP0002,P_POP0305,P_POP0610,P_POP1117,P_POP1824,P_POP2539,P_POP4054,P_POP5564,P_POP6579,P_POP80P
45,690810301,69081,2014,2935.745460548022,115.66365439971683,82.55233483485843,193.600107850486,308.115838402082,271.5909691157066,436.55167126114287,638.2608786998926,330.0265298108736,390.6505981737603,168.73287799950276
46,690810202,69081,2014,2203.262227987405,68.13837329405564,51.18453492329175,184.4947982360689,166.5727335093617,238.60950975425,380.6375769495148,391.353955384133,197.1541353348885,242.6190006704661,282.49760993137426
47,690810201,69081,2014,2369.6007356847563,49.26764212063828,66.32890844408888,89.84931252678248,194.4532988554258,901.9470031032006,338.13920141291936,297.60657715269264,107.28574645828932,243.20390262565468,81.51914298506426
48,690810105,69081,2014,2097.430121008948,44.10394445277489,70.22458438178072,105.30614838775814,229.3603562044868,244.3513671477292,233.03432224681129,472.7131988675272,275.45394434720686,268.94461494186766,153.93764003100512
49,690810302,69081,2014,2722.957372121637,59.9742826408448,52.11301517167001,132.41220909009118,210.89297573355583,194.81716302007104,299.8073979870034,408.6607884269416,341.1851604273064,635.8763657289376,387.2180138952155
50,690810103,69081,2014,92.8618226304128,0.0,0.0,0.0,0.0,31.18422677018002,5.83336624895198,19.27071724382939,16.94636263574952,12.05313336499718,7.57401636670471
51,690810102,69081,2014,1812.4009599421383,84.7731858459723,82.82205862886774,94.32232616698968,143.4300083869321,134.81720609180087,377.98808969141663,303.06663578734924,207.1398639573262,225.8108827184633,158.2307026670205
52,690810101,69081,2014,1842.8080717970515,114.33182400593267,108.05452843117088,158.94242262900048,193.01386890507183,159.33226393991205,337.7350237980677,325.97629298989875,161.1457159860926,190.73139948948725,93.5447316224172
53,690810104,69081,2014,1950.9332282796352,56.27251914607277,89.42752638726596,147.39242263527032,190.32450667676767,233.4087325931573,206.19504312022943,438.80509765874825,269.9478818382784,267.1922333528517,51.967264870993375
54,690810302,69081,2015,2713.068476475383,60.33765490326265,60.51694886136056,123.28979034770032,195.31554725859,206.11169279896043,314.505786888065,409.91452231361006,313.281290501802,642.3741448535676,387.4210977484643
55,690810301,69081,2015,3027.262371082554,122.22666906853284,83.204333319381,225.58219154868425,348.77476080457404,272.0717664374694,373.9904782963219,688.5099568237829,330.2712894847561,400.52018792050126,182.1107373785509
56,690810202,69081,2015,2207.598173666877,76.93028636069164,64.89889966775739,188.9167940675162,163.6153389667062,231.32731363536465,367.6288195435944,370.6852668123764,203.687452232053,269.2248714623102,270.6831309185068
57,690810201,69081,2015,2217.273683245686,24.85402963778389,58.96631326852816,91.50610558523933,201.25812201893444,883.3622993229437,274.2907384008822,282.7521685784766,101.62925693331466,231.25503246152587,67.39961703805662
58,690810105,69081,2015,2045.3614284836856,54.7086142889198,59.84242562225482,112.95400109853416,208.4290819012164,241.74250632755076,235.08026795462084,429.98355080566046,314.36423597893406,240.37710053932275,147.87964396667184
59,690810103,69081,2015,74.38833025155657,3.10342677986996,6.20685355973992,3.10342677986996,0.0,8.59536953216544,6.88250803759411,9.98593481746407,14.28361958354679,4.90674202091324,17.32044914039308
60,690810102,69081,2015,1882.6436197753671,88.32988013751465,85.84711699552129,124.95526134926214,158.60474920100486,107.27432440429644,406.09283835135005,308.64877299469595,201.94110811312876,240.0446742007385,160.90489402785437
61,690810101,69081,2015,1838.3024798625288,123.80305305805874,119.8049752375459,147.70581100022176,181.6509134838321,153.83992985525458,328.69446100882624,305.838670856985,178.19718603878954,204.0470300375983,94.72044928541644
